rank,status,alias,model_type,model_path,mse_mean,mae_mean,uqi_mean,lpips_mean,elapsed_seconds,per_sample_seconds,error
,failed,Scratch,DDNet70,results/CurveFaultAResults/unused_pretrain/DDNet70/CurveFaultA/CurveFaultA_CLStage3_unused_pretrain_TrSize1000_AllEpo120_CurEpo120.pkl,,,,,,,'NoneType' object is not iterable
,failed,Sup-Mig,DDNet70,results/CurveFaultAResults/used_pretrain/DDNet70/CurveFaultA/CurveFaultA_CLStage3_used_pretrain_TrSize1000_AllEpo120_CurEpo120.pkl,,,,,,,'NoneType' object is not iterable
,failed,Self-Sup,DDNet70,results/CurveFaultAResults/self_sup/DDNet70/CurveFaultA/CurveFaultA_CLStage3_used_pretrain_TrSize1000_AllEpo120_CurEpo120.pkl,,,,,,,'NoneType' object is not iterable
